V-et	N-ba		držba
N-ák	N-ačka		prosťačka, dobračka, předačka
V-éct	N-ačka		závlačka
N-ač	N-ačka		dohazovačka
N-	podN-		podvolba
N-	nadN-		nadstavba
N-	předN-		předvolba
N-	náN-		nástavba
N-	proN-		provolba, proděkan
N-ik	N-ička		hygienička, botanička, historička
N-ev	N-vička		broskvička
N-ič	N-ička		holička
N-ka	N-ečka		hůlečka
N-ď	N-dička		lodička
N-ka	N-tička		šištička
N-	N-ička		pěstička
N-ika	N-ik		technik, botanik
N-ec	N-ka		Argentinka, Ukrajinka, cizinka
N-	N-ka		Finka, agentka
V-it	N-ení		kalení
N-a	N-án		primán, sekundán
V-ovat	N-ace		duplikace
V-ovat	N-átor		konzervátor, operátor
V-at	N-a		blouma, brebta
N-ta	N-etice		plachetnice
N-	N-nice		pokladnice, pístnice
N-a	N-nice		knižnice
V-évat	N-eva		poleva
V-it	N-a		domluva, pomluva, sleva
V-at	N-a		pitva, přísaha, výzva
V-ouchat	N-ucha		porucha
V-ílit	N-ila		posila
N-ismus	N-ista		fatalista
V-it	N-ení		zamíření
N-ř	N-řka		stopařka, panikářka
N-ář	V-ařit		panikařit, taxikařit
N-ař	V-ařit		sochařit
N-	N-nice		lednice, kolejnice
N-a	N-ník		vodník, trávník
N-	N-ník		střážník, nájemník
A-ý	V-ět		hladovět, pitomět
A-ický	N-ictvo		četnictvo
N-lo	N-elník		prádelník, kormidelník
N-ík	V-ičit		poustevničit
